Country_A,Country_B,Conflict_Type,Year,Duration_Days,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,Total Deaths,Total GDP,Conflict_Intensity
Brazil,Germany,War,1978,1096,446.22,-4.5,1768.8,Forest,775.6,1228.6,NATO,,Mixed,4338,191,Yes,6.61,Yes,Stalemate,-55.285,171.026,Polar,Water,No,242150,30456,220.939781
Germany,Brazil,Skirmish,1961,243,321.91,6.8,1811.5,Plains,1242,1206.2,NATO,,Cyber,3821,129,No,0.46,No,Stalemate,-14.123,-90.784,Tropical,Land,No,256104,4609.6,1053.925926
Brazil,USA,Civil War,1990,530,262.79,19.8,875.9,Forest,890.2,940.7,Regional,,Nuclear,1441,191,No,9.67,No,Stalemate,-79.381,-6.843,Polar,Oil,No,135789,23296.5,256.2056604
USA,Turkey,Skirmish,1951,1613,165.76,19.3,2761.8,Desert,930.2,3.2,Regional,NATO,Conventional,2266,196,No,17.67,Yes,Victory_A,75.055,-15.122,Polar,Land,Yes,192633,32661.1,119.4252945
Brazil,USA,Cold Conflict,1986,1069,490,28.7,2745.3,Urban,1272.6,601.9,NATO,,Mixed,2248,147,Yes,8.89,Yes,Victory_B,79.22,-157.677,Polar,,No,209950,6518.7,196.3985033
India,Ukraine,Civil War,1994,1496,159.92,-3.7,1176.2,Desert,1049.4,890.3,Regional,,Mixed,4489,85,Yes,19.78,No,Victory_A,-9.324,11.462,Polar,Land,Yes,142760,26773.6,95.42780749
Australia,France,Cold Conflict,1997,371,372.12,9.3,1302.9,Mountain,1212.5,766.4,,Regional,Nuclear,600,10,No,3.56,Yes,Victory_A,-52.337,62.151,Polar,Water,Yes,85741,10674.7,231.1078167
USA,Brazil,Civil War,1973,1879,266.04,-5.6,2107.5,Forest,583.5,1149.8,NATO,,Conventional,835,118,No,7.02,No,Stalemate,-5.297,87.169,Arid,Land,No,125370,31973.2,66.72166046
Brazil,Israel,Proxy War,1971,652,304.3,7.5,1989,Desert,1211.6,1146.6,Regional,,Cyber,399,81,No,0.33,Yes,Stalemate,-72.012,8.133,Tropical,Land,Yes,83093,42906,127.4432515
India,Russia,Skirmish,1960,689,196.8,-9.3,1146.9,Desert,904.6,838.6,Regional,NATO,Mixed,2328,158,Yes,1.01,Yes,Victory_A,-18.396,112.531,Tropical,,No,194533,20959.7,282.341074
Germany,UK,War,2007,734,482.42,30.4,1242.7,Desert,190.7,31.8,Regional,,Conventional,1007,34,No,7.09,No,Stalemate,-76.74,90.755,Tropical,Water,Yes,173877,21489,236.8896458
Brazil,Ukraine,Civil War,1995,1951,285.88,13.7,1044.1,Mountain,55.2,517.7,NATO,Regional,Mixed,766,171,No,10.57,Yes,Victory_A,37.11,-110.169,Temperate,Oil,No,189672,14720.2,97.21783701
India,USA,Civil War,1978,92,468.9,28.2,706.2,Mountain,342.4,321.1,NATO,NATO,Conventional,432,182,Yes,4.74,No,Stalemate,-40.372,-35.423,Tropical,Water,No,98776,32373.4,1073.652174
Iran,France,Cold Conflict,1984,1046,3.89,-7.3,1374.4,Mountain,530.3,475,NATO,,Conventional,399,44,No,3.33,No,Victory_A,3.719,-128.671,Arid,Water,No,160093,32874,153.0525813
Russia,UK,Proxy War,1964,172,286.38,0.2,2059.3,Desert,1172.8,864.6,,,Conventional,328,148,Yes,8.41,Yes,Victory_A,-87.563,-131.967,Polar,Land,No,88542,15140.8,514.7790698
Iran,Brazil,Cold Conflict,2009,1628,358.62,1.7,2225.9,Urban,1038,94,Regional,,Nuclear,4730,179,Yes,3.41,No,Victory_B,4.435,76.366,Polar,Water,Yes,64984,26515.2,39.91646192
Japan,Israel,Cold Conflict,1991,1216,372.57,7.4,2336.6,Forest,1337.6,32.1,Regional,NATO,Mixed,1771,147,Yes,12.62,Yes,Stalemate,-89.412,10.965,Arid,Water,No,93428,17667.3,76.83223684
Russia,Brazil,Proxy War,1992,1101,452.5,26.1,1124.2,Forest,783.3,612.2,,NATO,Cyber,1612,8,No,19.11,No,Victory_B,76.535,36.342,Polar,Oil,No,175519,26029.6,159.417802
Japan,Japan,War,2023,1305,2.3,7.4,2293.9,Mountain,1047.1,1111.2,NATO,,Nuclear,4173,94,Yes,16.13,No,Stalemate,0.208,83.586,Polar,Land,Yes,145695,11724.6,111.6436782
Israel,France,Cold Conflict,1998,1388,0.27,-0.8,19.5,Desert,386.1,43.9,NATO,Regional,Cyber,4427,136,Yes,4.3,Yes,Stalemate,-71.988,-80.195,Tropical,Oil,Yes,79940,34202.4,57.59365994
China,Australia,Cold Conflict,2013,179,236.18,-7.1,1431.1,Urban,951.7,1188.8,NATO,,Nuclear,4245,185,No,19.02,No,Stalemate,-28.61,-35.51,Tropical,Oil,No,83812,9126,468.2234637
Iran,USA,Civil War,1981,238,14.74,-6.4,2381.7,Plains,988.9,538,,NATO,Nuclear,2004,198,Yes,15.02,Yes,Victory_B,-81.708,38.449,Tropical,Water,No,188252,26957.3,790.9747899
China,Israel,Proxy War,2013,1159,487.27,24.2,1890.1,Mountain,1187.9,166.4,Regional,NATO,Nuclear,3010,160,Yes,3.1,Yes,Stalemate,5.561,-145.214,Temperate,Oil,No,221943,14622.6,191.4952545
China,Russia,Skirmish,1951,877,111.11,10,1422.2,Plains,751.4,794.9,,NATO,Conventional,4245,0,No,11.59,No,Victory_A,-67.978,119.899,Tropical,,No,87194,38998.2,99.42303307
Germany,Brazil,War,1973,902,236.39,22.7,1933.9,Forest,909,1333.4,Regional,Regional,Mixed,1608,2,Yes,19.33,Yes,Victory_A,-4.841,-56.358,Tropical,Oil,Yes,233228,13737.9,258.5676275
Russia,Russia,War,2015,280,30.66,20.7,2720.8,Forest,285.1,760,Regional,,Conventional,3118,166,No,1.94,No,Stalemate,-35.009,57.151,Tropical,Water,No,153004,6203.3,546.4428571
Israel,Brazil,Proxy War,1987,1043,261.07,-3.9,1699.1,Urban,1031.7,961.6,Regional,,Conventional,361,139,Yes,5.42,No,Stalemate,47.085,178.403,Tropical,Water,No,90122,29720.2,86.40651965
Japan,USA,Civil War,1980,1619,190.04,-3.6,2399.4,Urban,1173.9,1143.2,,NATO,Conventional,1716,93,Yes,7.48,Yes,Stalemate,-3.194,-8.87,Tropical,Land,No,262739,18853.8,162.2847437
India,UK,Civil War,1975,740,22.43,24,2942.2,Plains,831.6,1119.3,NATO,,Nuclear,2421,143,No,2.31,Yes,Stalemate,62.673,-102.583,Arid,Water,No,166119,26562,224.4851351
USA,India,Proxy War,1978,371,167.63,22.5,2116.7,Forest,162.8,103.3,NATO,Regional,Nuclear,4190,177,Yes,5.98,No,Stalemate,79.443,-102.084,Arid,Water,Yes,81888,39003.5,220.722372
India,UK,Civil War,2016,1801,195.78,7,1720,Urban,438.7,1037.7,,Regional,Cyber,3461,87,No,13.85,No,Stalemate,84.514,-158.265,Arid,,Yes,212256,42032.7,117.8545253
USA,Brazil,War,1974,1136,494.96,-6.5,112.5,Urban,666.2,1329.3,Regional,,Mixed,3981,26,No,9.54,No,Victory_B,-43.165,96.15,Polar,Water,No,109950,6604,96.78697183
Iran,Canada,War,1997,1787,104.02,-9.5,1123.4,Forest,948.4,981.2,,,Conventional,2129,28,Yes,8.42,No,Victory_A,48.162,-74.365,Polar,Land,No,49935,32316.7,27.94348069
UK,Turkey,Skirmish,2014,1700,272.44,3,1696.3,Forest,449.1,1171.2,NATO,,Conventional,4728,126,No,8.64,Yes,Stalemate,-11.14,-117.819,Temperate,Oil,No,149579,40361.6,87.98764706
India,Iran,Proxy War,2002,870,493.66,-9.6,2391.6,Desert,1176.6,680.3,,,Conventional,2460,119,Yes,15.19,Yes,Victory_B,-13.289,76.931,Polar,Water,Yes,206328,38261.1,237.1586207
Brazil,India,Cold Conflict,2016,1704,396.03,0.4,1314.3,Urban,521.1,447.4,Regional,,Mixed,2050,104,Yes,19.83,No,Victory_B,66.281,-68.711,Temperate,Land,No,12162,22726.1,7.137323944
Brazil,Australia,Cold Conflict,1967,1019,496.68,8.9,2880.2,Plains,60.9,947.1,NATO,,Mixed,4108,77,No,11.77,Yes,Stalemate,-63.78,36.169,Arid,Water,No,177332,33500.5,174.0255152
France,India,Skirmish,1958,221,484.15,-4.5,815.4,Mountain,1111.8,689.6,Regional,NATO,Mixed,4259,68,Yes,15.03,Yes,Victory_B,-3.994,-29.583,Tropical,Oil,Yes,189803,42541.5,858.8371041
Russia,Turkey,Skirmish,1987,920,244.82,-5.3,2233.7,Mountain,902.3,1253.5,,NATO,Conventional,4712,106,Yes,7.45,No,Victory_A,16.719,-59.705,Tropical,Oil,Yes,210431,34468.1,228.7293478
USA,Russia,Civil War,1970,304,348.22,30.3,1257.1,Forest,1122.9,1364.2,Regional,NATO,Mixed,1368,179,Yes,17.21,Yes,Stalemate,-78.098,-3.805,Temperate,Water,No,84367,7710,277.5230263
USA,France,Skirmish,2014,1727,55.31,16.3,1458,Plains,489.1,1147.9,,Regional,Conventional,4261,101,Yes,8.41,No,Stalemate,65.613,-67.034,Temperate,Water,Yes,274762,23716.8,159.0978576
Ukraine,Russia,Skirmish,1970,1349,220.63,32.1,2407.5,Desert,25.7,1389.8,NATO,Regional,Conventional,3146,5,Yes,18.7,Yes,Victory_A,-33.419,133.403,Tropical,Land,No,209740,32442.2,155.4781319
Australia,Ukraine,Cold Conflict,1976,1461,404.53,5.6,888.6,Urban,104.2,488.4,NATO,Regional,Mixed,660,151,Yes,14.87,No,Victory_B,28.228,-153.705,Temperate,Oil,Yes,217987,24611.6,149.2039699
Russia,Russia,Civil War,2019,438,252.72,20.5,290.4,Desert,157.4,1254.2,NATO,Regional,Nuclear,4562,39,Yes,14.15,Yes,Stalemate,77.054,-169.145,Tropical,Water,No,94012,30682.2,214.6392694
Germany,Australia,Skirmish,1993,1194,351.38,-0.8,1560.8,Plains,1127.4,462.6,Regional,NATO,Conventional,515,32,No,5.8,No,Victory_A,39.556,-33.699,Arid,Water,Yes,266380,30798.9,223.0988275
France,Canada,Skirmish,1977,375,372.9,17.8,1586.4,Desert,422.7,166.1,,,Conventional,719,136,Yes,15.92,No,Victory_A,69.482,-117.776,Temperate,Water,Yes,96757,18531.8,258.0186667
Germany,UK,Civil War,1994,1581,126.81,-4.2,2391.5,Forest,1397.1,870.3,,,Nuclear,171,176,No,2.11,No,Stalemate,-77.482,87.742,Arid,Water,No,190846,47956.5,120.7122075
Iran,UK,Proxy War,1966,381,437.86,-9.9,2905,Mountain,1062,637.5,,,Mixed,1469,66,No,10.76,No,Victory_A,-1.308,-52.764,Temperate,Land,Yes,238590,4151.4,626.2204724
Iran,Iran,Civil War,1989,986,229.97,31.9,165.9,Forest,842,1290.5,Regional,Regional,Cyber,1173,150,No,14.71,No,Stalemate,11.67,-85.882,Arid,,Yes,222288,26385.2,225.4442191
Germany,Germany,Cold Conflict,1952,14,105.17,15,1775.1,Urban,1377.1,689.6,,NATO,Nuclear,4666,21,Yes,17.67,Yes,Victory_B,34.027,-50.623,Arid,Land,Yes,237200,16980.1,16942.85714
Germany,Brazil,Proxy War,2015,743,432.72,31.7,2043.8,Forest,443.5,1298.8,NATO,,Mixed,4900,71,No,11.39,Yes,Stalemate,-68.966,-100.986,Polar,Oil,No,35606,2961.3,47.92193809
Israel,Canada,War,1995,669,208.97,5,2957.4,Plains,232.7,111,,Regional,Conventional,1174,77,Yes,5.17,Yes,Stalemate,28.222,-72.125,Polar,Oil,Yes,235960,23971.4,352.7055306
Russia,Germany,Civil War,1979,500,375.18,4.8,2827.8,Plains,1032.4,1162.9,Regional,Regional,Nuclear,3744,93,No,16.98,Yes,Victory_A,-63.721,24.475,Temperate,,No,203026,20515.5,406.052
Germany,Turkey,Cold Conflict,2018,1670,274.06,8,2137.4,Urban,390,1063,NATO,Regional,Conventional,4208,115,No,15.36,No,Victory_A,-77.83,131.052,Temperate,Land,Yes,215653,41558.3,129.1335329
Brazil,Ukraine,Proxy War,1958,1415,191,21.8,1565.4,Urban,1345.5,1008.2,NATO,,Nuclear,1941,135,Yes,3.07,No,Victory_B,-5.523,-46.487,Arid,,No,62728,33875.8,44.33074205
Australia,USA,Civil War,1960,1573,404.96,15.5,484.6,Mountain,1383.3,497.8,Regional,NATO,Cyber,4031,146,No,17.45,Yes,Stalemate,18.068,-64.558,Arid,,Yes,72906,16279.2,46.34837889
Australia,Turkey,Skirmish,2018,565,292.28,31.6,1152.5,Desert,1297,1097.5,NATO,,Conventional,1397,108,No,19.2,No,Victory_B,82.461,101.444,Tropical,Oil,Yes,175721,32358.8,311.0106195
China,Brazil,Civil War,2015,530,195.34,-8.9,1755.4,Mountain,1322.7,677.1,,NATO,Mixed,4021,165,Yes,10.75,Yes,Victory_A,35.753,-171.927,Polar,Land,No,112167,15499.4,211.6358491
UK,Brazil,War,1980,492,54.89,21.9,2175.6,Forest,862.3,1001.6,Regional,NATO,Nuclear,697,133,Yes,0.77,Yes,Victory_B,16.45,-71.253,Arid,Water,Yes,181346,13335.4,368.5894309
Iran,Japan,Civil War,1982,1574,447.73,4.9,1906.2,Desert,969.3,773.6,,,Nuclear,1774,179,Yes,18.31,No,Stalemate,-51.378,-17.219,Temperate,Water,No,127891,21618.5,81.25222363
USA,Japan,Proxy War,1988,1723,17.83,-1.9,2142.4,Urban,132.9,221.3,Regional,,Nuclear,3211,33,Yes,2.46,Yes,Stalemate,-62.632,36.238,Tropical,,No,88805,30808.4,51.54091701
Ukraine,China,Proxy War,1995,1409,431.61,13,1287.5,Plains,1068.5,91.3,Regional,Regional,Conventional,3473,73,No,12.66,Yes,Stalemate,19.309,-123.818,Polar,Land,No,195333,26043.9,138.6323634
Turkey,Turkey,Civil War,1986,1220,180.04,12.7,2182.9,Forest,283.7,513.3,Regional,Regional,Mixed,4063,94,Yes,8.02,Yes,Victory_A,-49.869,-24.172,Tropical,Water,Yes,138080,36464.7,113.1803279
USA,China,Proxy War,2009,755,319.71,-3.8,431.2,Mountain,1176.6,1306,,,Nuclear,2754,138,Yes,19.84,No,Victory_A,37.189,23.868,Arid,Water,No,108051,16865.2,143.1139073
UK,Russia,Skirmish,1980,300,461.11,-0.9,487.8,Urban,1346.2,742.1,Regional,,Conventional,4451,42,No,18.34,Yes,Stalemate,-69.394,3.69,Tropical,Land,No,122858,30010.8,409.5266667
Ukraine,USA,Civil War,1960,815,75.94,8.4,488.5,Desert,298.1,1123.3,NATO,NATO,Conventional,4334,34,No,15.69,Yes,Victory_A,-28.866,26.838,Temperate,Water,No,201975,16294.5,247.8220859
Israel,India,Skirmish,1951,547,283.52,8.4,2672.6,Desert,110.2,806.8,,NATO,Cyber,3053,138,No,3.99,No,Victory_B,49.156,58.463,Temperate,Oil,Yes,118128,8661.3,215.9561243
Russia,Iran,Skirmish,1976,727,382.24,4.3,228.1,Plains,678,1341.1,Regional,Regional,Mixed,4608,167,Yes,13.98,No,Victory_B,59.587,-43.426,Arid,Water,Yes,238677,37719.1,328.303989
India,India,Cold Conflict,1951,731,378.82,-3.3,2404.5,Urban,1108.4,517.9,Regional,NATO,Cyber,2680,159,Yes,11.44,No,Stalemate,-27.857,-157.091,Tropical,Oil,Yes,197281,29386.7,269.878249
Russia,Iran,Civil War,1970,828,262.86,-9.8,700.7,Urban,1079.1,80.8,,,Nuclear,3603,176,No,2.71,No,Victory_A,-52.79,-160,Arid,,No,165397,37191.9,199.7548309
USA,Japan,Proxy War,2007,602,312.41,33.7,1405.3,Forest,975.8,1093.2,NATO,NATO,Conventional,3344,89,No,15.89,No,Stalemate,82.476,129.137,Polar,Land,No,69150,38941.1,114.8671096
USA,Japan,Skirmish,1954,1332,378.79,32.5,2747.9,Forest,1149.2,987.9,NATO,NATO,Nuclear,1429,184,Yes,1.73,No,Victory_B,46.994,63.871,Arid,Oil,Yes,146586,26479.8,110.0495495
Ukraine,Japan,Cold Conflict,2001,1276,420.53,11.8,1757.8,Desert,245.8,739,Regional,NATO,Conventional,2161,64,Yes,9.63,No,Victory_B,55.271,95.106,Arid,Water,Yes,58280,28938.6,45.67398119
Ukraine,Canada,Civil War,1994,1032,380.93,34.8,630.4,Mountain,913.1,457.6,Regional,,Conventional,26,47,Yes,8.53,Yes,Victory_A,-49.905,154.37,Polar,Oil,Yes,233757,21682.7,226.5087209
Iran,France,Civil War,1969,768,177.07,20.3,852.3,Desert,848.3,264.4,NATO,Regional,Mixed,3771,179,No,16.12,No,Victory_B,-13.601,90.196,Tropical,Water,No,74355,21574.8,96.81640625
Israel,Iran,War,2010,875,498.36,-6.9,2761.3,Forest,215.7,675.7,Regional,NATO,Nuclear,1441,38,No,8.55,Yes,Victory_A,-77.722,69.228,Temperate,Water,Yes,207395,2232.3,237.0228571
Iran,Turkey,War,1987,1232,217.31,-4.7,1281.4,Forest,580.8,933,NATO,,Mixed,4687,181,No,13.89,Yes,Victory_A,-70.308,56.073,Temperate,Oil,Yes,221135,25475.9,179.4926948
UK,China,Skirmish,1969,937,12.33,31.2,1761,Forest,1193.7,810.9,NATO,NATO,Conventional,2227,152,Yes,9.57,No,Victory_B,-50.227,-86.914,Tropical,Water,Yes,138590,22134.9,147.9082177
Germany,Canada,War,1974,131,181.37,18.4,1379.8,Desert,1360.6,613,NATO,NATO,Nuclear,566,103,Yes,11.64,Yes,Victory_B,-35.418,164.626,Arid,Oil,Yes,150024,30550.5,1145.221374
Russia,UK,Skirmish,1951,1760,63.98,27.9,1135.3,Urban,931.9,756,NATO,,Conventional,246,172,No,4.82,Yes,Stalemate,89.493,15.136,Temperate,,No,161397,11037.1,91.70284091
Ukraine,India,Proxy War,1981,1733,60.81,30.4,669.8,Mountain,1290.8,152,Regional,NATO,Nuclear,1523,156,No,4.05,No,Victory_A,-14.024,-100.053,Arid,,Yes,107547,20319.8,62.05828044
Japan,Ukraine,Skirmish,1975,1678,140.84,10.2,2058.6,Mountain,185.7,974.5,,,Nuclear,2364,100,Yes,14.2,Yes,Stalemate,35.618,-104.463,Polar,,Yes,71435,10057,42.57151371
UK,Australia,War,2019,1788,26.78,-7.8,2154.7,Forest,1365.1,1028.2,,Regional,Cyber,3965,31,No,2.45,Yes,Victory_A,72.8,113.496,Temperate,,Yes,217401,18043.7,121.5889262
Brazil,Brazil,Proxy War,1990,608,344.29,-1.5,824.7,Plains,47.9,17,NATO,NATO,Cyber,3692,122,Yes,3.52,Yes,Victory_B,-45.71,-89.925,Arid,Water,Yes,143506,3749.3,236.0296053
Israel,China,War,2016,26,37.09,-7,2367,Desert,738.6,379.5,Regional,,Mixed,1773,93,Yes,18.82,No,Victory_A,-63.95,-165.086,Arid,Land,No,244643,30521.1,9409.346154
USA,Germany,Skirmish,1950,1647,101.72,-1.5,2563.6,Urban,408.1,129.9,,NATO,Conventional,2937,123,Yes,5.07,No,Stalemate,-46.214,-25.772,Arid,Land,Yes,206485,16615.8,125.3703704
Iran,Israel,Cold Conflict,2000,1478,46.54,8.5,2762,Forest,1139.7,1397.5,,NATO,Mixed,3890,122,Yes,6.47,No,Victory_A,68.836,114.246,Temperate,Oil,No,116699,32095.9,78.95737483
UK,UK,Civil War,1954,635,31.68,-4.7,483.6,Plains,305.3,831.1,NATO,NATO,Nuclear,1091,81,No,12.66,Yes,Victory_B,29.823,-30.802,Arid,,No,181889,27501.7,286.4393701
Turkey,Turkey,War,1962,1210,133.95,-2.5,911.8,Forest,17.1,652.6,NATO,,Mixed,746,107,Yes,8.81,Yes,Stalemate,-8.76,109.277,Temperate,,No,61760,26177,51.04132231
Russia,Ukraine,Skirmish,1968,484,285.99,10.1,2581.1,Plains,581,648.7,Regional,,Nuclear,1574,66,No,11.18,No,Victory_A,57.651,117.796,Temperate,Oil,No,210376,44741.7,434.661157
Ukraine,China,Proxy War,1961,680,482.35,5.3,595.6,Mountain,90.7,1350.7,,,Mixed,4440,11,No,2.89,No,Victory_A,-47.389,128.775,Temperate,Land,Yes,81539,19727.4,119.9102941
USA,Australia,War,1997,1075,437.79,11,10.4,Plains,406.8,924.1,NATO,Regional,Mixed,3601,185,Yes,13.45,Yes,Victory_A,-46.948,32.004,Temperate,Land,No,80997,3432.7,75.34604651
India,Canada,War,1974,1915,437.98,9.3,2612.5,Mountain,901.6,237,NATO,NATO,Nuclear,2099,19,No,3.13,Yes,Victory_A,12.1,71.809,Tropical,,No,121336,12385.4,63.36083551
Turkey,Turkey,Civil War,2006,5,88.12,19,979.3,Mountain,413.3,628,Regional,,Nuclear,3516,49,No,14.95,Yes,Victory_A,52.211,-85.731,Polar,,No,195185,29487.5,39037
Israel,USA,Skirmish,1984,589,132.53,32.2,1243.5,Desert,344.9,1084.1,NATO,NATO,Mixed,3805,135,No,10.47,Yes,Victory_B,-43.279,-144.109,Polar,Land,Yes,117992,24616.3,200.3259762
UK,Brazil,Cold Conflict,1954,1184,38.29,-5.1,1339,Plains,218.5,593.3,NATO,NATO,Nuclear,2852,158,No,16.32,Yes,Victory_B,-52.194,11.801,Temperate,,No,237620,7953.9,200.6925676
France,China,Proxy War,1971,208,389.26,-5.5,2544.8,Urban,190.1,434,NATO,NATO,Mixed,591,151,No,3.45,No,Stalemate,-4.685,-176.191,Arid,,No,237007,28379.2,1139.456731
USA,France,Skirmish,2006,257,35,28.4,1013.7,Urban,736.7,1387.7,NATO,,Conventional,692,125,Yes,7.55,No,Victory_A,-65.843,-12.334,Temperate,,Yes,100363,18663.4,390.5175097
Russia,Japan,Proxy War,1996,1229,278.39,12.8,2676.8,Plains,954.4,1310,NATO,Regional,Cyber,1163,140,No,16.94,Yes,Victory_B,44.606,-143.246,Arid,Land,Yes,162598,16559.6,132.3010578
China,Japan,War,2003,1791,124.01,24.5,1850.8,Desert,634.4,1318.2,Regional,Regional,Nuclear,3792,199,Yes,15.97,Yes,Victory_B,13.92,-140.969,Tropical,,No,116965,30464.3,65.30709101
Japan,Brazil,Civil War,1952,1974,121.8,-0.3,1581.9,Urban,173.9,185.2,NATO,Regional,Nuclear,408,41,No,19.32,Yes,Victory_A,2.257,133.482,Polar,,No,99399,17032.7,50.35410334
Canada,Australia,Civil War,2002,11,495.36,27.3,976.8,Forest,907.2,328.7,,Regional,Mixed,2382,77,Yes,4.44,No,Stalemate,67.007,50.587,Temperate,,Yes,108958,13073.3,9905.272727
Turkey,Iran,Cold Conflict,1980,949,378.41,31.6,731.1,Urban,780.4,619.5,NATO,,Nuclear,404,78,No,10.78,No,Victory_A,41.861,52.284,Tropical,Water,Yes,172842,41103.1,182.1306639
Germany,Ukraine,Civil War,2018,8,418.49,18.6,1872.2,Desert,534.4,1165.1,NATO,Regional,Conventional,4742,25,No,0.36,Yes,Stalemate,-63.131,-34.388,Temperate,Oil,Yes,120466,13203.5,15058.25
Canada,Canada,War,1982,1433,286.03,-5.2,1340.7,Mountain,462.7,1031.8,,Regional,Cyber,1483,165,No,19.3,Yes,Stalemate,-14.322,-31.228,Temperate,Oil,No,175021,33511,122.1360782
Russia,Japan,Cold Conflict,2021,936,435.52,30.3,2731.5,Mountain,257.2,1189.7,,,Cyber,2122,109,Yes,3.5,Yes,Victory_B,-32.171,-70.881,Tropical,,No,216206,26532.7,230.9893162
Brazil,China,Skirmish,1999,32,322.78,25.7,1474.9,Mountain,205.7,1289.1,NATO,,Nuclear,864,37,Yes,18.09,No,Stalemate,54.372,-23.631,Arid,Land,No,208455,25550.5,6514.21875
Iran,Germany,Civil War,1965,540,473.09,23.8,1535.4,Desert,474.9,1093.3,Regional,NATO,Conventional,1584,182,No,13.57,No,Victory_B,39.427,31.365,Arid,Oil,Yes,108846,32351.2,201.5666667
Brazil,India,Cold Conflict,1988,1742,140.74,-8.3,1250.2,Mountain,59.2,367.2,,NATO,Cyber,216,96,Yes,18.74,No,Victory_B,-5.038,-112.828,Arid,,No,100754,27832.2,57.83811711
China,Iran,War,1995,1005,297.7,26,2367.8,Mountain,611.8,400.3,Regional,Regional,Cyber,742,137,Yes,4.96,Yes,Victory_A,58.256,-85.794,Temperate,,No,67520,30889.7,67.1840796
Turkey,India,Proxy War,1996,387,345.1,-3.8,1274.5,Desert,842.6,494.1,NATO,NATO,Conventional,4513,10,No,6.9,Yes,Victory_A,-16.188,-1.889,Arid,Oil,No,166550,17617.2,430.3617571
Germany,UK,Proxy War,1993,1252,196.53,0,808,Forest,1318.4,425,NATO,,Cyber,3838,130,Yes,3.29,No,Stalemate,54.639,-41.479,Arid,Water,No,66297,18433.9,52.9528754
France,Ukraine,War,1958,640,439.87,16,2586.1,Urban,876.5,349.5,,NATO,Mixed,3274,122,No,8.45,No,Victory_A,-84.227,115.015,Temperate,Water,Yes,197880,18609,309.1875
China,Russia,War,1999,1791,489.9,1.9,1790.5,Desert,874.1,1053.7,,NATO,Conventional,4751,22,Yes,18.95,No,Victory_A,-65.769,115.807,Tropical,Oil,Yes,144427,35984.1,80.64042434
Turkey,Iran,Proxy War,2009,1499,246.94,19.8,1774.5,Desert,524.8,48.6,Regional,,Cyber,863,61,Yes,11.42,No,Stalemate,46.075,-59.043,Polar,,Yes,81800,34401.9,54.56971314
Australia,USA,Cold Conflict,1964,1748,195.38,17.4,1832.5,Plains,187.5,1020,NATO,Regional,Conventional,3982,197,Yes,8.32,Yes,Victory_A,-69.41,-17.714,Arid,Water,No,169844,22736.4,97.16475973
Canada,Brazil,Proxy War,1985,1775,236.02,-5.1,2156.5,Mountain,626.3,1153.2,,NATO,Nuclear,2855,40,Yes,6.5,Yes,Victory_B,33.077,171.571,Tropical,Land,No,69611,19441.6,39.21746479
China,UK,War,2012,207,426.38,19.5,939.2,Forest,838.5,93.4,,NATO,Cyber,4046,120,No,11.7,Yes,Victory_A,40.243,117.891,Temperate,Oil,Yes,79846,47217.3,385.7294686
Canada,Russia,Civil War,2018,1342,322.77,31.6,101.5,Plains,1013.9,87.5,,Regional,Cyber,3684,168,Yes,14.46,Yes,Victory_A,29.195,-102.362,Temperate,Water,Yes,82891,23700.1,61.76676602
USA,Canada,Skirmish,1990,1819,22.48,-2.8,2431.8,Forest,1156.7,400.4,Regional,NATO,Mixed,4391,92,Yes,8.14,No,Victory_A,57.282,-79.118,Arid,Water,No,131834,28275.4,72.47608576
Brazil,Iran,Civil War,2023,1781,271.13,16.9,386.7,Mountain,359,292.4,NATO,Regional,Mixed,449,3,No,4.62,Yes,Victory_B,2.091,-149.947,Arid,Oil,No,189822,24065.2,106.5816957
USA,France,Civil War,1973,557,8.75,5.4,2165.5,Mountain,338.5,814,,,Cyber,2150,130,No,11.7,No,Stalemate,71.467,64.016,Tropical,,No,90628,24208,162.7073609
Japan,France,War,1998,1641,389.29,10.7,246.9,Mountain,791.9,946,,,Conventional,1115,50,No,7.31,No,Victory_B,12.509,-65.918,Arid,Oil,No,60136,42070.9,36.64594759
Australia,USA,Proxy War,1967,348,164.22,2.9,1125.9,Urban,792.9,888.2,,Regional,Cyber,2837,182,No,19.89,Yes,Stalemate,1.417,13.174,Tropical,Land,Yes,79834,37961.7,229.408046
Germany,Ukraine,Cold Conflict,1956,793,236.06,5.9,189.1,Forest,305.9,500.9,NATO,,Mixed,3428,106,Yes,8.82,No,Victory_B,1.69,96.531,Temperate,,No,111975,15958.8,141.2042875
France,Japan,Civil War,1953,234,399.36,-8.7,1566.6,Forest,822.9,698.3,Regional,,Mixed,2193,190,Yes,8.69,No,Victory_A,74.175,120.973,Tropical,Water,Yes,174096,28497.9,744
Israel,Turkey,Proxy War,2018,1725,23.32,34.2,1959.4,Plains,484.9,896.3,Regional,,Cyber,3338,176,Yes,16.79,Yes,Victory_B,-46.135,-62.869,Temperate,,Yes,172063,46164.9,99.74666667
